Summary,Risk Type,Description,Assignee,Reporter,Priority,Start Date,Due Date,Status,Resolution Type,Resolved Date,Component,Risk Assessment
[ARSK-78] [Admin Console lacks documented release processes and R&R for approvals.] - QA 5354,Change Management Risk,Admin Console Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,alice.nakamura@example.com,shohei.suzuki@example.com,Low,2025-03-30,,On Hold,Accepted,2025-04-02,Admin Console,RA-AdminConsole-2025
[ARSK-42] [API Gateway lacks documented release processes and R&R for approvals.] - QA 9062,Change Management Risk,API Gateway Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,haruto.sato@example.com,mei.kuroda@example.com,Low,2025-03-25,,Closed,,,API Gateway,RA-APIGateway-2025
[ARSK-83] [Cloud Service X has inefficient workflows causing repeated processing errors.] - QA 2775,Operational Risk,Cloud Service X Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,ryota.inoue@example.com,haruka.kobayashi@example.com,Medium,2025-02-04,,Approval in Progress,,,Cloud Service X,RA-CloudServiceX-2025
[ARSK-98] [System B contains inconsistent or corrupted entries due to lack of validation.] - QA 9781,Data Integrity Risk,System B Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,rina.fujimoto@example.com,shohei.suzuki@example.com,High,2025-02-11,,Closed,,,System B,RA-SystemB-2025
[ARSK-20] [Customer DB lacks encryption and secure transmission protocols.] - QA 3844,Data Security Risk,Customer DB Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,rina.fujimoto@example.com,mei.kuroda@example.com,High,2025-02-05,,Approval in Progress,,,Customer DB,RA-CustomerDB-2025
[ARSK-31] [Finance App exposes personal data due to improper access control.] - QA 6358,Data Privacy Risk,Finance App Exposes personal data due to improper access control. This poses a data privacy risk and should be reviewed for proper mitigation steps.,sota.fujikawa@example.com,haruka.kobayashi@example.com,Critical,2025-03-17,2025-04-05,Mitigation in Progress,Accepted,2025-03-26,Finance App,RA-FinanceApp-2025
[ARSK-1] [System C lacks encryption and secure transmission protocols.] - QA 1732,Data Security Risk,System C Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,haruto.sato@example.com,shohei.suzuki@example.com,Medium,2025-03-11,2025-04-12,On Hold,,,Data Integration Hub,RA-DataIntegrationHub-2025
[ARSK-57] [Data Warehouse is not aligned with regulatory standards or lacks compliance documentation.] - QA 2272,Compliance Risk,Data Warehouse Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,sota.fujikawa@example.com,shohei.suzuki@example.com,Critical,2025-03-13,,Approval in Progress,,,Data Warehouse,RA-DataWarehouse-2025
[ARSK-51] [System C contains inconsistent or corrupted entries due to lack of validation.],Data Integrity Risk,System C Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,erika.watanabe@example.com,mei.kuroda@example.com,Medium,2025-03-13,,Approval in Progress,,,Mobile App Gateway,RA-MobileAppGateway-2025
[ARSK-62] [Data Warehouse lacks encryption and secure transmission protocols.] - QA 4549,Data Security Risk,Data Warehouse Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,haruto.sato@example.com,shohei.suzuki@example.com,Medium,2025-03-30,2025-04-28,On Hold,Transferred,2025-03-30,Data Warehouse,RA-DataWarehouse-2025
[ARSK-23] [Data Warehouse contains inconsistent or corrupted entries due to lack of validation.] - QA 9490,Data Integrity Risk,Data Warehouse Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,alice.nakamura@example.com,shohei.suzuki@example.com,Low,2025-02-10,,On Hold,Avoided,2025-02-19,Data Warehouse,RA-DataWarehouse-2025
[ARSK-30] [Data Warehouse relies on unvetted external vendors for critical operations.] - QA 8842,Third-Party Risk,Data Warehouse Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,daiki.kobayashi@example.com,haruka.kobayashi@example.com,High,2025-04-01,2025-04-27,Mitigation in Progress,,,Data Warehouse,RA-DataWarehouse-2025
[ARSK-41] [Admin Console is not aligned with regulatory standards or lacks compliance documentation.] - QA 3384,Compliance Risk,Admin Console Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,daiki.kobayashi@example.com,mei.kuroda@example.com,Medium,2025-02-14,2025-04-18,Mitigation in Progress,Mitigated,2025-04-03,Admin Console,RA-AdminConsole-2025
[ARSK-82] [HR Portal grants unnecessary privileges to non-admin users.] - QA 8666,Access Control Risk,HR Portal Grants unnecessary privileges to non-admin users. This poses a access control risk and should be reviewed for proper mitigation steps.,naomi.ishikawa@example.com,mei.kuroda@example.com,Critical,2025-02-28,2025-04-21,Closed,,,HR Portal,RA-HRPortal-2025
[ARSK-53] [System C has inefficient workflows causing repeated processing errors.] - QA 8926,Operational Risk,System C Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,alice.nakamura@example.com,haruka.kobayashi@example.com,High,2025-02-04,2025-04-19,Mitigation in Progress,Third party,2025-02-28,Mobile App Gateway,RA-MobileAppGateway-2025
[ARSK-35] [Customer DB has inefficient workflows causing repeated processing errors.],Operational Risk,Customer DB Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,sota.fujikawa@example.com,haruka.kobayashi@example.com,Low,2025-02-20,,Closed,Transferred,2025-02-23,Customer DB,RA-CustomerDB-2025
[ARSK-88] [API Gateway relies on unvetted external vendors for critical operations.],Third-Party Risk,API Gateway Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,takuya.mori@example.com,haruka.kobayashi@example.com,High,2025-03-09,2025-05-01,Closed,Accepted,2025-03-20,API Gateway,RA-APIGateway-2025
[ARSK-78] [Admin Console lacks documented release processes and R&R for approvals.] - QA 4646,Change Management Risk,Admin Console Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,alice.nakamura@example.com,shohei.suzuki@example.com,High,2025-03-30,,Mitigation in Progress,Accepted,2025-04-02,Admin Console,RA-AdminConsole-2025
[ARSK-42] [API Gateway lacks documented release processes and R&R for approvals.] - QA 8819,Change Management Risk,API Gateway Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,haruto.sato@example.com,mei.kuroda@example.com,Low,2025-03-25,,Mitigation in Progress,,,API Gateway,RA-APIGateway-2025
[ARSK-2] [Cloud Service X contains inconsistent or corrupted entries due to lack of validation.],Data Integrity Risk,Cloud Service X Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,takuya.mori@example.com,haruka.kobayashi@example.com,Medium,2025-03-24,2025-05-01,On Hold,,,Cloud Service X,RA-CloudServiceX-2025
[ARSK-20] [Customer DB lacks encryption and secure transmission protocols.] - QA 3330,Data Security Risk,Customer DB Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,rina.fujimoto@example.com,mei.kuroda@example.com,Critical,2025-02-05,,On Hold,,,Customer DB,RA-CustomerDB-2025
[ARSK-42] [API Gateway lacks documented release processes and R&R for approvals.] - QA 2616,Change Management Risk,API Gateway Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,haruto.sato@example.com,mei.kuroda@example.com,Medium,2025-03-25,,Mitigation in Progress,,,API Gateway,RA-APIGateway-2025
[ARSK-76] [System B is susceptible to insider misuse due to weak monitoring.] - QA 1915,Insider Threat Risk,System B Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,daichi.aoyama@example.com,shohei.suzuki@example.com,Low,2025-02-12,2025-05-02,Approval in Progress,Mitigated,2025-03-19,System B,RA-SystemB-2025
[ARSK-84] [System A lacks encryption and secure transmission protocols.],Data Security Risk,System A Lacks encryption and secure transmission protocols. This poses a data security risk and should be reviewed for proper mitigation steps.,takuya.mori@example.com,haruka.kobayashi@example.com,Medium,2025-03-22,,Mitigation in Progress,,,System A,RA-SystemA-2025
[ARSK-99] [System C lacks documented release processes and R&R for approvals.] - QA 4538,Change Management Risk,System C Lacks documented release processes and r&r for approvals. This poses a change management risk and should be reviewed for proper mitigation steps.,erika.watanabe@example.com,mei.kuroda@example.com,High,2025-03-08,2025-04-06,Mitigation in Progress,,,Mobile App Gateway,RA-MobileAppGateway-2025
[ARSK-9] [HR Portal contains inconsistent or corrupted entries due to lack of validation.] - QA 2399,Data Integrity Risk,HR Portal Contains inconsistent or corrupted entries due to lack of validation. This poses a data integrity risk and should be reviewed for proper mitigation steps.,ryota.inoue@example.com,haruka.kobayashi@example.com,Low,2025-02-27,2025-04-30,Approval in Progress,,,HR Portal,RA-HRPortal-2025
[ARSK-15] [System C is susceptible to insider misuse due to weak monitoring.] - QA 4623,Insider Threat Risk,System C Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,hiroki.yamashita@example.com,mei.kuroda@example.com,Critical,2025-02-02,2025-04-08,On Hold,,,Mobile App Gateway,RA-MobileAppGateway-2025
[ARSK-66] [API Gateway is not aligned with regulatory standards or lacks compliance documentation.] - QA 8592,Compliance Risk,API Gateway Is not aligned with regulatory standards or lacks compliance documentation. This poses a compliance risk and should be reviewed for proper mitigation steps.,kenji.takahashi@example.com,mei.kuroda@example.com,High,2025-02-12,2025-04-19,Mitigation in Progress,,,API Gateway,RA-APIGateway-2025
[ARSK-8] [System A is susceptible to insider misuse due to weak monitoring.],Insider Threat Risk,System A Is susceptible to insider misuse due to weak monitoring. This poses a insider threat risk and should be reviewed for proper mitigation steps.,yuki.tanaka@example.com,mei.kuroda@example.com,Low,2025-02-16,2025-04-24,On Hold,,,System A,RA-SystemA-2025
[ARSK-34] [Finance App relies on unvetted external vendors for critical operations.] - QA 5796,Third-Party Risk,Finance App Relies on unvetted external vendors for critical operations. This poses a third-party risk and should be reviewed for proper mitigation steps.,takumi.nishida@example.com,haruka.kobayashi@example.com,High,2025-03-09,2025-04-05,Mitigation in Progress,Third party,2025-03-15,Finance App,RA-FinanceApp-2025
[ARSK-3] [Admin Console has inefficient workflows causing repeated processing errors.] - QA 2669,Operational Risk,Admin Console Has inefficient workflows causing repeated processing errors. This poses a operational risk and should be reviewed for proper mitigation steps.,rina.fujimoto@example.com,shohei.suzuki@example.com,Medium,2025-04-02,2025-04-26,Mitigation in Progress,Transferred,2025-04-03,Admin Console,RA-AdminConsole-2025
